,date,c13,o18
573,1796.08,-25.57,24.92
574,1796.25,-25.29,25.0
575,1796.42,-25.36,25.08
576,1797.08,-24.79,25.71
577,1797.25,-24.83,25.12
578,1797.42,-25.22,24.42
579,1797.58,-25.18,24.22
580,1797.75,-25.25,24.02
581,1797.92,-25.34,25.15
582,1798.13,-25.76,25.81
583,1798.38,-25.73,26.08
584,1798.63,-25.55,26.54
585,1798.88,-25.81,26.26
586,1799.13,-25.28,26.74
587,1799.38,-25.63,25.76
588,1799.63,-25.89,24.06
589,1799.88,-25.76,24.5
590,1800.1,-25.75,24.21
591,1800.3,-25.82,23.06
592,1800.5,-14.15,22.22
593,1800.7,-25.78,23.56
594,1800.9,-25.67,23.84
595,1801.1,-25.98,23.7
596,1801.3,-26.22,22.97
597,1801.5,-25.84,24.24
598,1801.7,-26.37,22.6
599,1801.9,-26.5,22.26
600,1802.1,-25.77,24.33
601,1802.3,-25.48,25.21
602,1802.5,-25.55,25.43
603,1802.7,-25.86,25.2
604,1802.9,-26.26,24.57
605,1803.1,-25.79,25.16
606,1803.3,-25.69,24.72
607,1803.5,-25.76,24.9
608,1803.7,-26.03,24.35
609,1803.9,-25.97,24.79
610,1804.08,-26.12,24.43
611,1804.25,-25.49,25.05
612,1804.42,-25.18,25.93
613,1804.58,-25.52,25.17
614,1804.75,-25.9,24.76
615,1804.92,-25.79,25.54
616,1805.08,-25.63,25.97
617,1805.25,-25.71,24.89
618,1805.58,-25.48,24.86
619,1805.75,-25.63,25.05
620,1805.92,-25.42,25.43
621,1806.08,-24.73,25.92
622,1806.25,-25.13,25.63
623,1806.42,-25.09,26.23
624,1806.58,-25.51,25.37
625,1806.75,-25.91,24.8
626,1806.92,-25.89,24.93
627,1807.1,-25.91,24.54
628,1807.3,-24.9,25.21
629,1807.5,-24.86,25.29
630,1807.7,-25.26,25.44
631,1807.9,-25.24,25.98
632,1808.08,-25.22,26.3
633,1808.25,-25.33,25.0
634,1808.42,-24.62,25.25
635,1808.58,-24.11,26.28
636,1808.75,-24.44,25.54
637,1808.92,-25.0,23.93
638,1809.08,-24.57,26.41
639,1809.25,-24.42,25.79
640,1809.42,-24.42,25.62
641,1809.58,-24.39,25.52
642,1809.75,-24.39,25.85
643,1809.92,-24.86,25.6
644,1810.13,-25.29,24.72
645,1810.38,-24.87,26.56
646,1810.63,-25.25,24.28
647,1810.88,-25.34,24.62
648,1811.13,-25.23,25.16
649,1811.38,-25.33,24.44
650,1811.63,-24.88,25.15
651,1811.88,-24.78,25.28
652,1812.1,-25.01,25.31
